ModelNumber,Pheromone,Avg_Gathered,SD_Gathered,Avg_Covered,SD_Covered,Avg_Reached,SD_Reached,Avg_Hits,SD_Hits,Avg_Equality,SD_Equality,TimeStep
0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,0.3,1.1835,0.8621065769381292,0.010012603116939509,0.010707253268697373,0.0,0.0,0.010012603116939509,0.010707253268697373,0.16576179786862683,0.0979332183493161,1
0,0.3,1.1835,0.8621065769381292,0.010012603116939509,0.010707253268697373,0.0,0.0,0.0,0.0,0.16576179786862683,0.0979332183493161,2
0,0.3,1.1835,0.8621065769381292,0.010012603116939509,0.010707253268697373,0.0,0.0,0.0,0.0,0.16576179786862683,0.0979332183493161,3
0,0.3,1.6862,1.325341299439475,0.013046745931266548,0.012314960102807837,0.0215,0.47920533177338837,0.003034142814327024,0.004808829064399609,0.22198173371137686,0.1501772985827315,4
0,0.3,1.6862,1.325341299439475,0.013046745931266548,0.012314960102807837,0.0215,0.47920533177338837,0.0,0.0,0.22198173371137686,0.1501772985827315,5
0,0.3,2.149,1.4547161235100232,0.01655988572099679,0.015524517975143717,0.065,0.8040988745172335,0.003513139789730346,0.006026320759355001,0.2897514365986059,0.16283357041998142,6
0,0.3,2.7022,1.8150799321242082,0.021285629537587378,0.018887025221247303,0.1267,1.1365065375965893,0.004725743816590806,0.007317484673706923,0.33971093925484286,0.17386594445001904,7
0,0.3,3.0467,2.016759556813778,0.02344649642062908,0.020038875558007506,0.1424,1.1985500573611005,0.0021608668830416008,0.00413938468392044,0.35871123987454623,0.18851148432130072,8
0,0.3,3.4429,2.208017117234466,0.027377025404030253,0.023409544892692622,0.2011,1.3990921306332151,0.0039305289834012545,0.006529688598952791,0.3985437213080264,0.2040389722724006,9
0,0.3,3.5357,2.2169631277944757,0.02834437992176687,0.02416814503951387,0.2222,1.480482070137894,0.0009673545177365881,0.003991109746573758,0.4101377271921426,0.20683122550715843,10
0,0.3,4.2559,2.7271991474772523,0.03398628626969763,0.02816991657098886,0.2729,1.6036912389859324,0.005641906347930975,0.008562714699987959,0.47691711517278446,0.24292147503476647,11
0,0.3,4.3298,2.7393853252143754,0.035011339486664454,0.029382789624117212,0.2888,1.6354187720581475,0.0010250532169669335,0.004760655882765807,0.4851209544835782,0.24483212745076433,12
0,0.3,5.0636,3.340083088786895,0.04059001077763032,0.033083070451662776,0.3478,1.7620542443409517,0.0055786712909657475,0.00756962651055228,0.545140406585844,0.2803282666936076,13
0,0.3,5.5882,3.606996085387418,0.04394995313741756,0.034966431636977935,0.3781,1.8187744197671973,0.003359942359787681,0.006069052598338284,0.6049981545592402,0.2835080043587307,14
0,0.3,6.5624,4.1406891020697785,0.05155080354103468,0.039375248043230504,0.4586,1.9447586071284768,0.007600850403616175,0.007416455251730106,0.6830946261600397,0.3092700340050419,15
0,0.3,7.3234,4.386070273034894,0.05751083220179772,0.04160131935823257,0.5164,2.03797228636711,0.005960028660763062,0.006864778057751817,0.7528519676942991,0.30828688526715975,16
0,0.3,8.0608,4.839018842699366,0.06270268600002958,0.04361016473374775,0.5672,2.1074828967278023,0.0051918537982322465,0.007687909175876083,0.8036436826775357,0.3311034550698836,17
0,0.3,9.0202,5.371218852364997,0.0698171865902197,0.04895532386827987,0.6281,2.189792316636384,0.007114500590190434,0.008441719471144062,0.8875417537340708,0.3599300423397551,18
0,0.3,10.2006,5.502704756753679,0.08002663863217835,0.05418213005193039,0.7172,2.2925584310984477,0.010209452041957136,0.011130508674963228,0.9808444068749437,0.3582268439471535,19
0,0.3,10.4172,5.584939047115897,0.08220204698725539,0.0549408612802301,0.7468,2.328280429844987,0.002175408355077148,0.005909947958503172,0.9944203175375207,0.35365050051282776,20
0,0.3,10.6805,5.741064339475686,0.08460906772939181,0.05688715873338331,0.7814,2.3614432112586536,0.002407020742136757,0.004884711232177043,1.009209737766626,0.3571309045360849,21
0,0.3,11.6588,6.4562824101799325,0.09239712685392307,0.06040318245092602,0.8767,2.4871061718389673,0.007788059124531067,0.01294970984135631,1.0687551035991918,0.3808194026300872,22
0,0.3,13.6008,7.002545205852036,0.10576716916633856,0.062493345132955895,0.9975,2.6050515829824867,0.013370042312416078,0.011341071813030207,1.1750477295703814,0.4030758818943218,23
0,0.3,14.2149,7.400616054761913,0.11112389629333518,0.06563526718455844,1.0726,2.6910832837355234,0.0053567271269978215,0.00873236230601389,1.2042431736179884,0.4079120832770305,24
0,0.3,15.0049,8.110553371379677,0.11713361262953897,0.06974259414595749,1.1538,2.7369226441389816,0.006009716336204964,0.007964460233368095,1.2518720452075032,0.43666112488245373,25
0,0.3,16.3624,8.569029480635416,0.1270993654065001,0.07234471445330502,1.2567,2.8411274364238377,0.009965752776961458,0.010042230838841879,1.3268522444898967,0.4588614038669087,26
0,0.3,17.2089,9.078252077905784,0.13482252130639602,0.07699575569819872,1.3802,2.914352065211131,0.0077231558998958035,0.013310903994566135,1.381626599215753,0.48657447335141557,27
0,0.3,18.5701,9.950722887810743,0.14427492110904985,0.07846474611789919,1.515,2.9953255248802924,0.009452399802652802,0.010516388120071128,1.4574740130070987,0.5218770089973476,28
0,0.3,20.3326,11.213927823916155,0.15647404080076877,0.0838759082679453,1.6825,3.1005312044874076,0.01219911969171875,0.011797031706259977,1.5363663264972593,0.5596584868617632,29
0,0.3,21.8507,11.993090073454777,0.16941114188161235,0.09209154766229447,1.8472,3.193438923793716,0.012937101080843491,0.01605511993565743,1.5952144615572081,0.5789832462312697,30
