Pheromone,Decay,Avg_Time,Avg_Covered,ParetoFront
0.0,0.5,149.491,0.17085083554679853,Pareto
0.0,0.1,149.597,0.17008777300483247,Dominated
0.0,0.6000000000000001,149.664,0.17365282245781913,Pareto
0.0,0.4,149.762,0.1719555526810038,Dominated
0.0,0.9,149.897,0.17461100240277883,Pareto
0.0,0.0,150.015,0.1736187551829877,Dominated
0.0,0.7000000000000001,150.144,0.1710181999428247,Dominated
0.0,0.30000000000000004,150.494,0.17092356105852355,Dominated
0.0,1.0,150.713,0.17407332296132239,Dominated
0.0,0.8,150.802,0.1737114251547435,Dominated
0.0,0.2,151.561,0.1725495054420274,Dominated
0.1,0.30000000000000004,162.552,0.46179602205791626,Pareto
0.1,0.4,162.956,0.45701152763937203,Dominated
0.1,0.1,163.132,0.45969004048354817,Dominated
0.1,0.2,163.243,0.4589970368548007,Dominated
0.1,0.8,163.622,0.460405585427824,Dominated
0.1,0.6000000000000001,163.881,0.4798637474611918,Pareto
0.1,1.0,163.923,0.4670371854696324,Dominated
0.1,0.0,164.17,0.47068537845546204,Dominated
0.1,0.7000000000000001,164.271,0.46594353296210056,Dominated
0.1,0.9,164.271,0.464796760869529,Dominated
0.1,0.5,164.605,0.4712288292732915,Dominated
0.2,1.0,174.011,0.5773051377501276,Pareto
0.2,0.5,174.437,0.5746112472577605,Dominated
0.2,0.30000000000000004,174.617,0.581753804213848,Pareto
0.2,0.6000000000000001,174.707,0.5747114709314131,Dominated
0.2,0.7000000000000001,174.725,0.5738762284353747,Dominated
0.2,0.9,174.748,0.5722837682309876,Dominated
0.2,0.8,175.219,0.5758301227470267,Dominated
0.2,0.4,175.395,0.5751122529213596,Dominated
0.2,0.1,175.45,0.5756061565641242,Dominated
0.2,0.2,175.552,0.5877243723805087,Pareto
0.2,0.0,176.552,0.5790874591576828,Dominated
0.30000000000000004,0.0,181.149,0.6330551424008352,Pareto
0.30000000000000004,0.8,182.102,0.649000340803751,Pareto
0.30000000000000004,0.9,182.25,0.6490540885029813,Pareto
0.30000000000000004,0.4,182.341,0.6392540478710682,Dominated
0.30000000000000004,0.7000000000000001,182.496,0.6396393297985067,Dominated
0.30000000000000004,0.2,182.729,0.6489020778870912,Dominated
0.30000000000000004,0.30000000000000004,183.311,0.6372309738547222,Dominated
0.30000000000000004,1.0,183.369,0.6505556077690601,Pareto
0.30000000000000004,0.5,183.462,0.6437125831380558,Dominated
0.30000000000000004,0.6000000000000001,183.51,0.643992763918827,Dominated
0.30000000000000004,0.1,183.71,0.6489730402167381,Dominated
0.4,0.7000000000000001,188.977,0.697767181993231,Pareto
0.4,0.9,190.01,0.6910375178426521,Dominated
0.4,0.2,190.236,0.6973764892711951,Dominated
0.4,0.0,190.604,0.6956299957565311,Dominated
0.4,1.0,190.769,0.6942236066109361,Dominated
0.4,0.30000000000000004,190.775,0.694972466561081,Dominated
0.4,0.1,191.397,0.6934298229777195,Dominated
0.4,0.6000000000000001,191.588,0.7003941211833311,Pareto
0.4,0.4,191.661,0.6950861771603697,Dominated
0.4,0.5,191.742,0.7005838457684972,Pareto
0.4,0.8,192.969,0.7024656621983135,Pareto
0.5,0.2,195.271,0.7272067770866483,Pareto
0.5,0.1,196.054,0.7237803825336596,Dominated
0.5,0.9,196.126,0.7342592502887947,Pareto
0.5,0.5,196.215,0.7284317545951792,Dominated
0.5,0.7000000000000001,197.205,0.730836076300783,Dominated
0.5,0.8,197.378,0.7440575580165621,Pareto
0.5,0.4,197.549,0.7352748698227366,Dominated
0.5,0.6000000000000001,197.887,0.7289716833878861,Dominated
0.5,1.0,197.896,0.7282647402104707,Dominated
0.5,0.30000000000000004,198.269,0.7310047277640221,Dominated
0.5,0.0,198.276,0.7279136115047222,Dominated
0.6000000000000001,1.0,201.277,0.7516142646109046,Pareto
0.6000000000000001,0.6000000000000001,201.697,0.760850244454866,Pareto
0.6000000000000001,0.30000000000000004,202.035,0.7639452253412279,Pareto
0.6000000000000001,0.7000000000000001,202.264,0.7614222217754996,Dominated
0.6000000000000001,0.2,202.293,0.7509804603875575,Dominated
0.6000000000000001,0.9,202.721,0.7603271471619151,Dominated
0.6000000000000001,0.8,202.762,0.763903856178176,Dominated
0.6000000000000001,0.5,203.024,0.7513213002176391,Dominated
0.6000000000000001,0.4,203.055,0.7539709546738897,Dominated
0.6000000000000001,0.1,203.538,0.7631021893350761,Dominated
0.6000000000000001,0.0,204.18,0.7684122192998177,Pareto
0.7000000000000001,0.9,205.906,0.7889108559117992,Pareto
0.7000000000000001,0.7000000000000001,206.406,0.7833640916472641,Dominated
0.7000000000000001,0.0,206.6,0.7865344501693632,Dominated
0.7000000000000001,0.30000000000000004,206.622,0.7864379063781232,Dominated
0.7000000000000001,1.0,206.925,0.7805985368355368,Dominated
0.7000000000000001,0.1,207.012,0.7834112715640905,Dominated
0.7000000000000001,0.6000000000000001,207.613,0.7858139175676142,Dominated
0.7000000000000001,0.5,207.875,0.7845045513766751,Dominated
0.7000000000000001,0.2,208.332,0.7811710150839712,Dominated
0.7000000000000001,0.8,208.995,0.7872201897638147,Dominated
0.7000000000000001,0.4,209.353,0.7870829901927958,Dominated
0.8,0.1,211.908,0.7966131369763252,Pareto
0.8,0.7000000000000001,211.911,0.8011078928804586,Pareto
0.8,0.30000000000000004,212.672,0.8031417447712622,Pareto
0.8,0.2,212.772,0.791521864471958,Dominated
0.8,0.6000000000000001,212.852,0.8033065075194509,Pareto
0.8,0.5,212.91,0.8091609542066482,Pareto
0.8,0.9,213.271,0.7979965685792323,Dominated
