ModelNumber,Pheromone,Avg_Gathered,SD_Gathered,Avg_Covered,SD_Covered,Avg_Reached,SD_Reached,Avg_Hits,SD_Hits,Avg_Equality,SD_Equality,TimeStep
0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,0.1,0.617,0.6118096109085275,0.006010574650908856,0.008657676474923758,0.0,0.0,0.006010574650908856,0.008657676474923758,0.10393427242727528,0.09447457220219355,1
0,0.1,0.702,0.7021367388194542,0.006889755337992815,0.011151530938491529,0.0123,0.2352630655245251,0.0008791806870844006,0.0052991105438227794,0.11846818134974464,0.11022684189592512,2
0,0.1,0.8146,0.8265753686143414,0.008796165381609237,0.013796230824324913,0.0304,0.3647956140087191,0.0019064100436165226,0.005768471460307123,0.13775497073305507,0.1298478221889894,3
0,0.1,0.8801,0.9773044510284288,0.009832159419341702,0.016268072860959635,0.0397,0.41391292562569193,0.0010359940377324699,0.004488910831955773,0.14807650591428298,0.1517502097988645,4
0,0.1,0.8801,0.9773044510284288,0.009832159419341702,0.016268072860959635,0.0397,0.41391292562569193,0.0,0.0,0.14807650591428298,0.1517502097988645,5
0,0.1,0.8801,0.9773044510284288,0.009832159419341702,0.016268072860959635,0.0397,0.41391292562569193,0.0,0.0,0.14807650591428298,0.1517502097988645,6
0,0.1,1.006,1.068159164169845,0.011459658394000703,0.019425326602612394,0.0525,0.4732269540082828,0.0016274989746589386,0.006488044819037856,0.16896667966126364,0.16514046225974272,7
0,0.1,1.006,1.068159164169845,0.011459658394000703,0.019425326602612394,0.0525,0.4732269540082828,0.0,0.0,0.16896667966126364,0.16514046225974272,8
0,0.1,1.0348,1.087652959357884,0.011717141252190486,0.019710558184574664,0.058,0.4952130854490701,0.00025748285818980233,0.0019058200378944009,0.1740300995491428,0.1693398030451214,9
0,0.1,1.4212,1.2839745168810612,0.014215153336193203,0.02117109907722514,0.0783,0.5728604629400829,0.0024980120840028836,0.004388105488850871,0.23682010203579812,0.19383903787703347,10
0,0.1,1.63,1.487380247280509,0.016887622873555587,0.02621535380039975,0.1092,0.6654888128285606,0.0026724695373625458,0.007596927869632278,0.26154576859005035,0.2162489045299743,11
0,0.1,1.814,1.6648735687733507,0.018801082312498607,0.028512257670828718,0.1282,0.7188635197309854,0.0019134594389431648,0.00525056374725386,0.2817838328454472,0.23339923924526307,12
0,0.1,2.2619,1.868397278417995,0.020977468329845043,0.02850674525663056,0.1527,0.7805015759112077,0.002176386017346585,0.003711451455924481,0.3421385922415281,0.2597840242481421,13
0,0.1,2.3354,1.9347627348074086,0.02224089485887717,0.030835535784749395,0.1728,0.8236140843866987,0.0012634265290321562,0.005285994723341286,0.3536498405027831,0.26923185233618857,14
0,0.1,2.6792,2.2775617137632556,0.025225843150071158,0.033907031883057215,0.2387,0.9578738486878272,0.0029849482911939247,0.006354949232741213,0.3895858089996965,0.29445468937126706,15
0,0.1,2.7001,2.2863420544616186,0.02583405159617434,0.03518796490590293,0.251,0.9761142351181183,0.0006082084461031625,0.004346886899709058,0.39333747381533246,0.29779218802401797,16
0,0.1,2.7872,2.379394074128954,0.026567789904364463,0.03577496156581165,0.2741,1.016842755788732,0.0007337383081903243,0.002606537615180008,0.4032240424040799,0.30539834545246014,17
0,0.1,3.0375,2.6151661037113065,0.02847992643364713,0.0385836498817096,0.3242,1.0969477471602078,0.0019121365292824517,0.006010337164367024,0.43041859337688393,0.3236138834885991,18
0,0.1,3.0804,2.65716688222614,0.028856691873601528,0.039059305926254756,0.344,1.1236832293844978,0.0003767654399543927,0.002571569609305409,0.43684331388552444,0.33229459353304713,19
0,0.1,3.874,2.7980929219737187,0.03356771179775867,0.04108531881307148,0.4135,1.2131437466351032,0.004711019924156997,0.005661033454116886,0.5455846222056008,0.31299002116055524,20
0,0.1,4.0807,3.033906312001052,0.03548367364896665,0.04503309883616358,0.4597,1.2681387581806172,0.0019159618512074562,0.006586015091981483,0.5666248654906728,0.33087247564734906,21
0,0.1,4.4825,2.9789417164489693,0.0377093440464524,0.04512845243757143,0.5122,1.3317098632961089,0.0022256703974875315,0.0036127349723011513,0.6241235861413225,0.29879921593658176,22
0,0.1,4.5705,3.1042277219946373,0.03859785748202485,0.04672362880646692,0.5384,1.358869176926073,0.0008885134355724535,0.0032272051505744383,0.6315169497460567,0.30634223412004413,23
0,0.1,4.684,3.1146659531962286,0.04028998905399431,0.04860469976890398,0.5586,1.380929411664326,0.0016921315719695663,0.005616059156378896,0.6468779534380545,0.3027191988556502,24
0,0.1,4.8739,3.330675425495482,0.04205269931545583,0.05091339541502684,0.6132,1.4341498387546299,0.0017627102614616718,0.006336997856045546,0.6660973832248391,0.3161074860355309,25
0,0.1,5.2785,3.549639101373468,0.04465866791658756,0.05332917883596753,0.6734,1.4817329179039977,0.0026059686011322713,0.0054227084234709615,0.72170261032949,0.34362335326666243,26
0,0.1,5.8931,3.3818740943446417,0.04799431401811847,0.05382663786331105,0.7283,1.5271146355137377,0.003335646101530386,0.005106286891670229,0.7824760694562102,0.3113936070411315,27
0,0.1,5.9348,3.425397635311961,0.048693651459979906,0.05602338644485801,0.7542,1.5468621011583121,0.0006993374418613312,0.005011029874446438,0.7869125013110534,0.3141596263619669,28
0,0.1,6.2095,3.497571979245166,0.05003013608006998,0.05598022148104317,0.7819,1.5713473167952745,0.001336484620090573,0.002893160987425412,0.8310354165671819,0.3394443544151582,29
0,0.1,6.4224,3.6379634742533113,0.05198019436679724,0.05779274256639262,0.8293,1.624795836405275,0.0019500582867272296,0.00494387886091085,0.8528597437682068,0.3446564017066615,30
0,0.1,7.0674,4.102396523984298,0.05590583937920522,0.05968919502234911,0.8824,1.6608944096479445,0.0039256450124078,0.006209233281467658,0.8807014253353078,0.3562313534630583,31
0,0.1,7.5024,4.409715891075151,0.05879138189413728,0.06196553428964541,0.9645,1.722683879880333,0.002885542514932288,0.006206782522682867,0.9323861664167767,0.39855131135866584,32
0,0.1,7.8588,4.570389760184652,0.061382500338544185,0.0640528998516551,1.0645,1.8324682125482559,0.002591118444406922,0.005336842094625823,0.9730529742806139,0.41054694997348984,33
0,0.1,8.3337,4.5074764902327225,0.06422366074765415,0.06480362853709477,1.1471,1.8992265767938121,0.0028411604091095333,0.004669209021377982,1.0276558033141454,0.37983080286304777,34
