ModelNumber,Pheromone,Avg_Covered,SD_Covered,Avg_Time,SD_Time
0,0.1,0.42291133656242574,0.16078073468102524,157.4367,19.235815374191965
1,0.2,0.5296608075841648,0.1739450775667893,169.0409,21.592406702125633
2,0.30000000000000004,0.5961945910497457,0.17781163039295034,175.8929,23.702591199908923
3,0.4,0.6378843749231186,0.1789194656597624,181.7115,25.824818832859215
4,0.5,0.6706190924645048,0.1780155443134885,187.9488,27.05842158293791
5,0.6,0.6956325192203079,0.17569469127689064,193.2421,28.97578450344356
6,0.7000000000000001,0.7153450164259564,0.17319389661642906,198.6795,30.85163496072777
7,0.8,0.727667115153661,0.1716809757557815,203.3034,32.5137255392242
8,0.9,0.7451941220281479,0.16874458402013331,208.7378,33.310965929555394
9,1.0,0.7563471551778437,0.1675974122401629,212.7072,34.15048854936046
